15 15
1 1 5 3 9 3 13 1 5 5 1 5 3 9 3 
10 10 11 12 6 12 3 12 3 9 6 9 6 14 10 
12 6 8 3 9 3 10 9 6 10 11 10 9 3 10 
9 1 6 12 6 14 10 14 9 6 10 12 6 12 2 
10 12 5 5 5 3 12 5 6 11 8 5 5 3 10 
10 9 5 3 9 4 5 5 5 2 10 13 3 12 6 
14 10 13 4 6 9 5 7 9 6 10 9 4 3 11 
9 6 9 5 3 12 1 3 10 11 10 10 11 12 2 
8 5 6 11 12 3 14 12 4 6 10 10 8 5 6 
10 9 3 12 3 10 9 3 9 5 6 10 12 5 7 
12 6 10 9 2 12 6 12 6 11 9 4 5 5 3 
11 9 6 10 12 5 3 9 5 4 4 1 5 7 10 
10 10 13 4 3 13 2 12 7 9 3 10 9 5 2 
10 10 9 3 12 3 12 5 5 6 10 14 10 11 10 
12 4 6 12 5 6 13 5 5 5 4 5 6 12 4 
